job_role,country,is_remote,schedule_type,posted_date,salary_year_avg,no_degree_required,health_insurance,sql,python,excel,tableau,r,power bi,job_skills_clean
Data Analyst,United States,False,Full-time,2023-07-07,75000.0,False,True,1,0,1,0,0,0,"['sql', 'excel', 'sheets']"
Data Analyst,Malaysia,False,Full-time,2023-03-08,53014.0,True,False,1,1,0,1,0,0,"['sql', 'python', 'looker', 'tableau']"
Data Analyst,United States,True,Full-time,2023-12-27,125000.0,False,True,1,1,0,0,1,0,"['sql', 'r', 'python', 'sas', 'sas', 'snowflake', 'databricks', 'spss']"
Data Analyst,United States,False,Full-time,2023-08-22,169311.0,False,True,1,1,0,0,1,0,"['sql', 'python', 'r', 'express']"
Data Analyst,United States,False,Full-time,2023-07-11,57500.0,False,True,1,1,1,0,0,0,"['python', 'sql', 'excel']"
Senior Data Analyst,United States,False,Full-time,2023-12-31,172118.5,False,True,1,1,0,1,0,0,"['sql', 'php', 'python', 'perl', 'express', 'tableau']"
Senior Data Analyst,India,False,Full-time,2023-05-28,111175.0,False,False,0,0,0,0,0,0,"['firebase', 'firebase']"
Data Analyst,United States,False,Full-time,2023-07-27,127500.0,True,True,1,0,0,0,0,0,"['shell', 'sql', 'linux']"
Data Analyst,United States,True,Full-time,2023-09-20,163500.0,False,False,0,0,0,1,0,0,"['crystal', 'sas', 'sas', 'go', 'tableau']"
Data Analyst,Costa Rica,False,Full-time,2023-08-30,111175.0,False,False,1,0,0,1,0,1,"['sql', 'looker', 'tableau', 'power bi']"
Senior Data Analyst,Canada,False,Full-time,2023-12-08,120000.0,True,False,1,0,0,0,0,0,"['sql', 'gcp', 'unify']"
Data Analyst,United States,False,Full-time,2023-06-17,72259.0,False,True,1,0,0,0,0,0,"['go', 'sql', 'javascript']"
Business Analyst,Vietnam,False,Full-time,2023-12-12,64800.0,False,False,0,0,1,0,0,0,"['qlik', 'powerpoint', 'excel']"
Business Analyst,France,False,Full-time,2023-04-24,111175.0,True,False,0,1,0,0,0,0,"['go', 'python', 'cassandra', 'aws', 'pandas', 'kafka']"
Data Analyst,United States,False,Full-time,2023-07-30,148138.5,False,True,1,1,0,1,0,0,"['python', 'mongodb', 'mongodb', 'sql', 'mysql', 'azure', 'airflow', 'plotly', 'matplotlib', 'seaborn', 'tensorflow', 'pytorch', 'dax', 'tableau']"
Data Analyst,United States,False,Full-time,2023-06-23,67897.0,False,True,1,1,0,1,0,0,"['sql', 'python', 'c', 'sas', 'sas', 'html', 'css', 'sass', 'mysql', 'db2', 'sql server', 'postgresql', 'aws', 'redshift', 'oracle', 'flask', 'tableau', 'sap', 'git', 'github']"
Data Analyst,United States,False,Full-time,2023-01-23,65000.0,False,False,1,0,1,1,0,0,"['sql', 'excel', 'tableau', 'alteryx']"
Senior Data Analyst,United States,False,Full-time,2023-03-20,115000.0,False,True,1,0,0,0,0,0,['sql']
Data Analyst,United States,False,Full-time,2023-12-18,52500.0,False,True,0,0,1,0,0,0,"['word', 'spreadsheet', 'excel']"
Data Analyst,United States,False,Full-time,2023-11-24,70000.0,False,False,0,0,1,0,0,0,"['vba', 'sap', 'excel']"
Data Analyst,United States,False,Full-time,2023-12-27,96000.0,False,True,0,1,0,1,1,0,"['python', 'r', 'sas', 'sas', 'snowflake', 'azure', 'tableau']"
Senior Data Analyst,United States,False,Full-time,2023-03-24,90000.0,True,False,1,0,0,0,0,0,"['sql', 'azure', 'databricks', 'spark']"
